id,millis,sensor
0,13,889
1,20,747
2,28,758
3,37,756
4,45,756
5,53,757
6,62,764
7,69,778
8,78,786
9,86,783
10,94,789
11,102,799
12,111,797
13,118,785
14,127,786
15,135,792
16,143,792
17,151,789
18,160,795
19,167,797
20,176,818
21,184,843
22,192,847
23,200,846
24,209,841
25,217,836
26,225,837
27,234,826
28,241,818
29,250,822
30,258,821
31,266,811
32,274,813
33,283,825
34,290,834
35,299,850
36,307,871
37,316,871
38,323,861
39,332,852
40,340,851
41,348,851
42,356,848
43,365,849
44,381,845
45,389,846
46,397,854
47,405,856
48,413,855
49,422,856
50,429,861
51,438,860
52,447,861
53,454,861
54,463,855
55,471,851
56,479,850
57,487,846
58,496,843
59,503,839
60,512,838
61,520,843
62,529,850
63,536,853
64,545,859
65,553,859
66,561,855
67,569,855
68,578,853
69,585,846
70,594,835
71,602,831
72,610,831
73,618,829
74,627,826
75,634,831
76,643,841
77,652,850
78,659,864
79,668,864
80,676,856
81,684,856
82,692,854
83,701,846
84,708,840
85,717,829
86,725,821
87,733,819
88,741,823
89,749,836
90,758,842
91,766,842
92,774,843
93,782,842
94,791,845
95,798,846
96,807,844
97,815,838
98,823,831
99,831,823
100,840,822
101,847,826
102,856,830
103,864,836
104,872,841
105,881,840
106,889,831
107,897,830
108,905,829
109,914,830
110,921,846
111,930,854
112,938,855
113,946,853
114,954,845
115,963,836
116,970,834
117,979,832
118,987,837
119,995,840
120,1003,836
121,1012,829
122,1019,829
123,1028,835
124,1036,842
125,1045,847
126,1052,844
127,1061,841
128,1069,844
129,1077,844
130,1085,849
131,1094,855
132,1101,852
133,1110,864
134,1118,888
135,1126,889
136,1134,873
137,1143,863
138,1150,856
139,1159,851
140,1167,851
141,1175,865
142,1183,887
143,1192,902
144,1199,907
145,1208,906
146,1216,894
147,1225,880
148,1232,879
149,1241,884
150,1249,891
151,1257,898
152,1265,911
153,1274,919
154,1282,927
155,1290,939
156,1298,935
157,1306,935
158,1315,945
159,1323,953
160,1330,948
161,1339,947
162,1348,948
163,1356,947
164,1364,946
165,1372,952
166,1381,958
167,1388,951
168,1397,947
169,1405,964
170,1413,982
171,1421,977
172,1430,987
173,1437,994
174,1446,994
175,1454,995
176,1462,1002
177,1470,995
178,1479,992
179,1486,991
180,1495,998
181,1503,1006
182,1511,1008
183,1519,1020
184,1528,1023
185,1535,1023
186,1544,1022
187,1552,1022
188,1560,1017
189,1568,999
190,1577,1000
191,1584,1017
192,1593,1023
193,1601,1023
194,1610,1023
195,1617,1023
196,1626,1023
197,1634,1022
198,1642,1023
199,1650,1022
200,1659,1018
201,1667,1023
202,1675,1023
203,1684,1023
204,1691,1023
205,1700,1023
206,1708,1023
207,1717,1023
208,1724,1023
209,1733,1023
210,1741,1023
211,1749,1023
212,1757,1023
213,1766,1023
214,1773,1023
215,1782,1023
216,1790,1023
217,1798,1023
218,1806,1023
219,1815,1023
220,1822,1023
221,1831,1023
222,1839,1021
223,1848,1018
224,1855,1023
225,1864,1023
226,1872,1023
227,1880,1023
228,1888,1023
229,1897,1023
230,1904,1023
231,1913,1023
232,1921,1023
233,1929,1023
234,1937,1023
235,1945,1023
236,1954,1023
237,1962,1023
238,1970,1023
239,1978,1023
240,1986,1023
241,1995,1023
242,2002,1023
243,2011,1023
244,2019,1023
245,2028,1023
246,2035,1021
247,2044,1017
248,2052,1017
249,2060,1023
250,2068,1023
251,2077,1023
252,2084,1023
253,2093,1023
254,2101,1023
255,2109,1019
256,2117,1016
257,2126,1017
258,2134,1022
259,2142,1023
260,2150,1023
261,2159,1023
262,2166,1023
263,2175,1023
264,2183,1023
265,2191,1023
266,2199,1023
267,2208,1023
268,2215,1023
269,2224,1023
270,2232,1023
271,2241,1023
272,2248,1023
273,2257,1023
274,2265,1023
275,2273,1023
276,2281,1023
277,2290,1023
278,2297,1023
279,2306,1023
280,2314,1023
281,2322,1023
282,2330,1023
283,2339,1023
284,2346,1023
285,2355,1023
286,2363,1023
287,2372,1023
288,2379,1023
289,2388,1023
290,2396,1023
291,2404,1023
292,2412,1023
293,2421,1014
294,2428,998
295,2437,990
296,2445,991
297,2453,994
298,2461,1000
299,2470,999
300,2477,999
301,2486,996
302,2494,983
303,2502,975
304,2510,975
305,2519,977
306,2528,975
307,2535,976
308,2544,975
309,2552,967
310,2560,962
311,2568,965
312,2577,971
313,2584,979
314,2593,984
315,2601,991
316,2609,994
317,2617,982
318,2626,960
319,2633,935
320,2642,926
321,2650,931
322,2658,942
323,2666,949
324,2675,949
325,2682,951
326,2691,950
327,2699,940
328,2708,927
329,2715,920
330,2724,912
331,2732,913
332,2740,918
333,2748,923
334,2757,923
335,2764,919
336,2773,913
337,2781,907
338,2789,901
339,2797,898
340,2806,894
341,2814,879
342,2822,865
343,2830,857
344,2839,856
345,2846,863
346,2855,861
347,2863,853
348,2871,855
349,2879,861
350,2888,861
351,2895,862
352,2904,863
353,2912,861
354,2921,859
355,2928,857
356,2937,853
357,2944,851
358,2953,848
359,2961,846
360,2969,847
361,2977,846
362,2986,844
363,2994,841
364,3002,838
365,3011,838
366,3018,841
367,3027,844
368,3035,846
369,3043,848
370,3051,847
371,3060,843
372,3067,840
373,3076,838
374,3084,843
375,3092,853
376,3100,859
377,3108,862
378,3117,864
379,3125,858
380,3133,852
381,3141,849
382,3150,851
383,3157,851
384,3166,849
385,3174,849
386,3182,846
387,3191,846
388,3199,846
389,3207,845
390,3215,845
391,3224,846
392,3231,845
393,3240,846
394,3248,849
395,3256,850
396,3264,850
397,3273,850
398,3280,850
399,3289,846
400,3297,850
401,3305,853
402,3313,852
403,3322,852
404,3329,853
405,3338,854
406,3346,853
407,3354,846
408,3362,844
409,3371,849
410,3379,851
411,3387,848
412,3396,848
413,3403,848
414,3412,851
415,3420,854
416,3428,853
417,3436,849
418,3445,846
419,3453,844
420,3461,844
421,3469,848
422,3477,852
423,3485,855
424,3494,854
425,3502,854
426,3510,853
427,3518,851
428,3527,848
429,3534,847
430,3543,846
431,3551,847
432,3559,846
433,3568,841
434,3575,838
435,3584,838
436,3592,837
437,3600,838
438,3608,840
439,3617,842
440,3624,842
441,3633,834
442,3641,833
443,3649,833
444,3657,827
445,3666,823
446,3674,821
447,3682,823
448,3691,823
449,3698,822
450,3707,817
451,3715,810
452,3723,808
453,3731,808
454,3740,804
455,3747,801
456,3756,801
457,3764,797
458,3772,792
459,3780,789
460,3789,788
461,3796,785
462,3805,778
463,3814,776
464,3821,773
465,3830,769
466,3838,766
467,3846,763
468,3854,766
469,3863,769
470,3870,773
471,3879,771
472,3887,764
473,3895,758
474,3903,754
475,3912,751
476,3919,745
477,3928,741
478,3936,737
479,3944,736
480,3952,733
481,3961,733
482,3968,734
483,3977,728
484,3986,720
485,3993,719
486,4002,713
487,4010,707
488,4018,713
489,4026,712
490,4035,702
491,4042,705
492,4051,703
493,4059,699
494,4067,696
495,4075,695
496,4084,692
497,4091,704
498,4100,712
499,4108,710
500,4116,714
501,4124,725
502,4133,725
503,4141,722
504,4149,719
505,4158,705
506,4165,688
507,4174,679
508,4182,676
509,4190,680
510,4198,692
511,4207,691
512,4214,689
513,4223,692
514,4231,685
515,4239,683
516,4247,691
517,4256,690
518,4264,684
519,4272,689
520,4281,684
521,4288,681
522,4297,692
523,4305,698
524,4313,698
525,4321,703
526,4330,707
527,4337,709
528,4346,711
529,4354,713
530,4362,711
531,4370,702
532,4379,689
533,4386,684
534,4395,681
535,4402,675
536,4411,676
537,4419,681
538,4428,682
539,4435,690
540,4444,702
541,4453,697
542,4460,690
543,4469,688
544,4476,676
545,4485,672
546,4493,673
547,4501,675
548,4509,684
549,4518,691
550,4525,698
551,4534,704
552,4543,698
553,4550,690
554,4559,681
555,4567,670
556,4575,667
557,4583,677
558,4592,677
559,4599,671
560,4608,668
561,4616,673
562,4624,683
563,4632,697
564,4641,695
565,4648,696
566,4657,697
567,4665,694
568,4673,681
569,4681,671
570,4690,673
571,4698,681
572,4706,679
573,4715,681
574,4722,690
575,4731,700
576,4739,704
577,4747,702
578,4755,695
579,4764,688
580,4771,679
581,4780,672
582,4788,669
583,4796,666
584,4804,674
585,4813,689
586,4820,694
587,4829,695
588,4837,684
589,4845,679
590,4854,680
591,4862,676
592,4870,671
593,4878,667
594,4887,651
595,4894,645
596,4903,654
597,4911,658
598,4919,665
599,4927,683
600,4936,697
601,4943,707
602,4952,716
603,4960,721
604,4968,727
605,4976,726
606,4984,730
607,4993,730
608,5001,727
609,5009,730
610,5017,733
611,5026,733
612,5033,726
613,5042,725
614,5050,731
615,5058,724
616,5067,717
617,5075,722
618,5083,724
619,5091,717
620,5100,714
621,5107,712
622,5116,711
623,5124,723
624,5132,740
625,5140,751
626,5149,757
627,5156,754
628,5165,762
629,5173,773
630,5181,769
631,5189,765
632,5198,767
633,5205,762
634,5214,750
635,5222,755
636,5230,765
637,5239,766
638,5247,769
639,5255,776
640,5263,784
641,5272,792
642,5279,800
643,5288,805
644,5296,803
645,5304,808
646,5312,812
647,5321,812
648,5328,817
649,5337,816
650,5345,811
651,5353,807
652,5361,809
653,5370,813
654,5377,819
655,5386,820
656,5394,825
657,5402,834
658,5410,837
659,5419,843
660,5427,845
661,5435,840
662,5444,839
663,5451,835
664,5460,830
665,5468,828
666,5476,830
667,5484,839
668,5492,841
669,5501,846
670,5509,857
671,5517,861
672,5526,861
673,5533,863
674,5542,856
675,5549,842
676,5558,833
677,5566,832
678,5574,832
679,5582,836
680,5591,846
681,5599,854
682,5607,854
683,5616,853
684,5623,856
685,5632,853
686,5640,850
687,5648,851
688,5656,846
689,5665,846
690,5672,846
691,5681,838
692,5689,831
693,5697,834
694,5706,838
695,5714,841
696,5722,851
697,5730,855
698,5739,855
699,5746,855
700,5755,847
701,5763,838
702,5771,837
703,5779,839
704,5788,841
705,5795,842
706,5804,847
707,5812,848
708,5820,848
709,5828,852
710,5837,853
711,5844,853
712,5853,851
713,5862,846
714,5869,846
715,5878,846
716,5886,838
717,5894,832
718,5902,833
719,5911,836
720,5918,833
721,5927,831
722,5934,833
723,5943,843
724,5951,854
725,5960,853
726,5967,852
727,5976,852
728,5984,848
729,5992,841
